STV HD 32” UA32H5000 FKLXD, 32”, 2460
A06 5G, 6/128, 1980
A07, 4/64, 1320
A07, 4/128, 1555
A07, 6/128, 1840
A07, 8/256, 2170
A16 4G, 8/128, 2450
A16 5G, 8/256, 3175
A17 4G, 8/128, 2825
A17 5G, 8/256, 3480
A26 5G, 8/256, 3750
A36 5G, 8/256, 4885
A36 5G, 12/256, 5350
A56 5G, 8/256, 5630
A56 5G, 12/256, 6290
S24 FE, 8/256, 8420
S25 FE, 8/256, 9375
S25, 12/256, 13120
S25 ULTRA, 12/256, 19680
S25 ULTRA, 12/512, 21540
S25 EDGE, 12/512, 16375
Z FLIP 7, 12/256, 15445
Z FOLD 7, 12/256, 25250
TAB A9 WF ONLY, 4/64, 1790
TAB A9 KT, 4/64, 2170
TAB A11 8.7” WF ONLY, 4/64, 1895
TAB A9 PLUS, 8/128, 3580
TAB S10 LITE 5G WF, 6/128, 4725
TAB S10 LITE 5G KT, 6/128, 5660
TAB S10 FE 10.9” 5G KT, 8/128, 7540
TAB S10 FE 10.9” 5G + Keyboard KT, 8/128, 8470
TAB S10+ 13.1” WF + Keyboard, 12/256, 10330
FIT 3, -, 840
BUDS CORE, -, 840
BUDS FE, -, 1290
BUDS 3 FE, -, 1660
Silicone Case Z Flip 6 ORI TAM, -, 475
Kindsuit Case Z Flip 6 ORI TAM, -, 845
TA 25W WHITE, -, 180
TA 25W BLACK, -, 180
TA 45W Type-C + Cable, -, 465
TA 50W Type-C + Cable 2 Slot USB, -, 550
